"";"Var1";"Freq"
"1";"D18";197
"2";"Q00";704
"3";"Q01";397
"4";"Q02";656
"5";"Q03";1240
"6";"Q04";644
"7";"Q05";1287
"8";"Q06";109
"9";"Q07";164
"10";"Q10";218
"11";"Q11";110
"12";"Q12";28
"13";"Q13";30
"14";"Q14";6
"15";"Q15";168
"16";"Q16";342
"17";"Q17";2268
"18";"Q18";717
"19";"Q20";664
"20";"Q21";1849
"21";"Q22";197
"22";"Q23";224
"23";"Q24";1495
"24";"Q25";427
"25";"Q26";35
"26";"Q27";559
"27";"Q28";63
"28";"Q30";184
"29";"Q31";28
"30";"Q32";17
"31";"Q33";354
"32";"Q34";19
"33";"Q35";1267
"34";"Q36";663
"35";"Q37";1004
"36";"Q38";1545
"37";"Q39";272
"38";"Q40";49
"39";"Q41";162
"40";"Q42";402
"41";"Q43";239
"42";"Q44";52
"43";"Q45";36
"44";"Q50";20
"45";"Q51";7
"46";"Q52";166
"47";"Q53";927
"48";"Q54";1690
"49";"Q55";411
"50";"Q56";516
"51";"Q60";226
"52";"Q61";150
"53";"Q62";268
"54";"Q63";89
"55";"Q64";165
"56";"Q65";361
"57";"Q66";5221
"58";"Q67";375
"59";"Q68";765
"60";"Q69";6300
"61";"Q70";687
"62";"Q71";548
"63";"Q72";152
"64";"Q73";58
"65";"Q74";880
"66";"Q75";470
"67";"Q76";256
"68";"Q77";152
"69";"Q78";71
"70";"Q79";2149
"71";"Q80";32
"72";"Q81";28
"73";"Q82";195
"74";"Q83";137
"75";"Q84";53
"76";"Q85";10
"77";"Q86";25
"78";"Q87";303
"79";"Q89";1139
"80";"Q90";1862
"81";"Q91";229
"82";"Q92";31
"83";"Q93";6
"84";"Q96";18
"85";"Q97";6
"86";"Q98";9
"87";"Q99";104
