UF,Estado,Casos_entre_nascidos,Espinha bífidaprop,Outras malformações congênitas do sistema nervosoprop,Malformações congênitas do aparelho circulatórioprop,Fenda labial e fenda palatinaprop,Ausência atresia e estenose do intestino delgadoprop,Outras malformações congênitas do aparelho digestivoprop,Testiculo não-descidoprop,Outras malformações do aparelho geniturinárioprop,Deformidades congênitas do quadrilprop,Deformidades congênitas dos pésprop,Outras malformações e deformidades congênitas do aparelho osteomuscularprop,Outras malformações congênitasprop,Anomalias cromossômicas não classificadas em outra parteprop
AC,Acre,0.009150633505396527,0.011731581417175035,0.07625527921163773,0.05865790708587518,0.05279211637728766,0.017597372125762553,0.05279211637728766,0.005865790708587518,0.05279211637728766,0.0,0.08798686062881277,0.3050211168465509,0.2053026748005631,0.11731581417175035
AL,Alagoas,0.008763447358878278,0.02820419839638986,0.08259800958942745,0.03424795519561626,0.07856883838994319,0.0,0.03424795519561626,0.016116684797937063,0.07453966719045892,0.002014585599742133,0.16922519037833916,0.3223336959587413,0.11281679358555945,0.052379225593295456
AM,Amazonas,0.005097408493086721,0.019455757607201224,0.05836727282160367,0.0376144647072557,0.05966432332875042,0.0,0.049287919271576434,0.01686165659290773,0.03372331318581546,0.009079353550027237,0.07652597992165815,0.15175490933616956,0.08690238397883214,0.022049858621494722
AP,Amapá,0.022009229676961305,0.023665838362323985,0.09466335344929594,0.011832919181161992,0.08874689385871494,0.0,1.490947816826411,0.01774937877174299,0.04141521713406698,0.0,0.1479114897645249,0.21890900485149686,0.13607857058336292,0.08874689385871494
BA,Bahia,0.007336580364009229,0.0107664701358626,0.06613688797744169,0.04921814919251474,0.04050243527300692,0.0010253781081773904,0.03281209946167649,0.010253781081773904,0.05639579594975647,0.0015380671622660857,0.09792360933094078,0.31684183542681366,0.13278646500897207,0.029735965137144323
CE,Ceará,0.010405859489927066,0.03484104739930937,0.09445795072701653,0.0735533222874309,0.06426237631428174,0.003096981991049722,0.047228975363508265,0.0379380293903591,0.13317022561513805,0.0077424549776243055,0.19433561993837006,0.2926647981541987,0.16104306353458556,0.05729416683441986
DF,Distrito Federal,0.008869979087041176,0.02343693661210067,0.05047955577990914,0.06129660344703252,0.06309944472488642,0.0018028412778538978,0.05408523833561693,0.018028412778538977,0.10456479411552606,0.010817047667123386,0.09374774644840268,0.3713853032379029,0.10997331794908777,0.04507103194634744
ES,Espírito Santo,0.008882200730395846,0.033032977922959755,0.11010992640986585,0.09175827200822154,0.04954946688443963,0.0,0.04587913600411077,0.02018681984180874,0.10460443008937256,0.005505496320493293,0.0954286028885504,0.3101429593877888,0.14314290433282562,0.08808794112789269
GO,Goiás,0.007471697210964865,0.02151848796757881,0.05499169147270141,0.04662339059642076,0.06455546390273643,0.0,0.04901433370392951,0.010759243983789406,0.08129206565529773,0.0011954715537543783,0.11596074071417471,0.2725675142559983,0.1267199846979641,0.034668675058876976
MA,Maranhão,0.004311273981461522,0.02514909822519221,0.05568728892721132,0.016167277430480707,0.040418193576201765,0.0,0.026945462384134512,0.0053890924768269025,0.03592728317884602,0.0008981820794711504,0.07095638427822087,0.15269095351009557,0.054789106847740174,0.01886182366889416
MG,Minas Gerais,0.007385282465608135,0.02729513054871011,0.06160900895280282,0.10333156564868827,0.06316873069844339,0.002729513054871011,0.031584365349221696,0.01325763483794491,0.061219078516392675,0.0019496521820507222,0.0912437221199738,0.2729513054871011,0.12204822659637521,0.061219078516392675
MS,Mato Grosso do Sul,0.007076617099512037,0.02081357970444717,0.08094169885062788,0.02775143960592956,0.08325431881778868,0.0,0.05087763927753752,0.01387571980296478,0.08325431881778868,0.00693785990148239,0.12025623829236141,0.272889156124974,0.14338243796396938,0.02543881963876876
MT,Mato Grosso,0.005250815660685155,0.010195758564437194,0.057775965198477434,0.025489396411092987,0.05607667210440457,0.0,0.027188689505165852,0.008496465470364329,0.040783034257748776,0.0,0.06627243066884177,0.21750951604132682,0.09176182707993474,0.02379010331702012
PA,Pará,0.004990298682972719,0.022783396048918155,0.0698200846660395,0.030132878645343367,0.04924153339604892,0.0014698965192850423,0.03601246472248354,0.005879586077140169,0.04409689557855127,0.004409689557855127,0.09848306679209784,0.15874882408278457,0.06761523988711195,0.021313499529633115
PB,Paraíba,0.008255969902286938,0.022642955428213124,0.06967063208680961,0.04702767665859649,0.053994739867277444,0.0034835316043404802,0.04528591085642625,0.034835316043404806,0.10276418232804417,0.0069670632086809604,0.14108302997578945,0.24907250971034434,0.18985247243655617,0.048769442460766727
PE,Pernambuco,0.010028344207292124,0.04240471957089399,0.07141847506676884,0.05281991385146445,0.07290635996399318,0.0,0.031245582841711365,0.027525870598650488,0.13167781340435503,0.002231827345836526,0.14655666237659853,0.35560449043661985,0.18226589990998296,0.049100201608403574
PI,Piauí,0.007411223842739379,0.017834495878249843,0.07331959416613824,0.0416138237159163,0.05746670894102727,0.0,0.07133798351299937,0.009908053265694357,0.05746670894102727,0.003963221306277742,0.12285986049461002,0.2675174381737476,0.1307863031071655,0.011889663918833228
PR,Paraná,0.007260816337162356,0.022791800161496185,0.06837540048448855,0.09507436638795551,0.08595764632335703,0.005860748612956161,0.04558360032299237,0.006511942903284624,0.05860748612956162,0.005209554322627699,0.09637675496861244,0.22205725300200568,0.11851736083978015,0.07228256622645933
RJ,Rio de Janeiro,0.006760785520570868,0.020676655575003366,0.058663999538381646,0.05337462253082264,0.04135331115000673,0.0028851147313958183,0.03462137677674982,0.019714950664538093,0.0726087207401281,0.002404262276163182,0.07212786828489547,0.27697101421399856,0.11011521224827374,0.03317881941105191
RN,Rio Grande do Norte,0.007641799072227327,0.02689196154449499,0.08291688142885956,0.04033794231674249,0.06947090065661206,0.0,0.06050691347511373,0.00896398718149833,0.08515787822423414,0.004481993590749165,0.1411827981085987,0.21289469556058535,0.12101382695022746,0.06947090065661206
RO,Rondônia,0.007573226417195679,0.029698927126257563,0.08167204959720831,0.040836024798604154,0.05939785425251513,0.0037123658907821954,0.022274195344693173,0.022274195344693173,0.04454839068938635,0.0,0.11879570850503025,0.28213980769944685,0.1484946356312878,0.03712365890782195
RR,Roraima,0.007198683669271904,0.013711778417660771,0.07541478129713423,0.006855889208830386,0.054847113670643086,0.0,0.03427944604415192,0.0,0.03427944604415192,0.006855889208830386,0.15082956259426847,0.1919648978472508,0.19882078705608117,0.027423556835321543
RS,Rio Grande do Sul,0.009258777633289987,0.02600780234070221,0.05498792494891325,0.11592049043284414,0.07802340702210664,0.004458480401263236,0.04309864387887795,0.01709084153817574,0.11369125023221252,0.002972320267508824,0.126323611369125,0.27791194501207506,0.13078209177038827,0.07728032695522942
SC,Santa Catarina,0.008335464075683969,0.028637177192533878,0.07261569930963947,0.0930708258757351,0.07568396829455382,0.009204806954743032,0.05931986704167732,0.019432370237790847,0.09613909486064945,0.004091025313219126,0.11250319611352595,0.24239324980823318,0.12273075939657377,0.07261569930963947
SE,Sergipe,0.011090024908077334,0.035582967619499466,0.12157513936662317,0.047443956825999285,0.08599217174712372,0.0,0.041513462222749375,0.029652473016249556,0.12157513936662317,0.008895741904874866,0.20460206381212193,0.40920412762424385,0.19867156920887202,0.038548214921124424
SP,São Paulo,0.012635536527083359,0.03198653486617826,0.09459119668982127,0.2718000208682206,0.06961775235579974,0.008894651406637805,0.09749906349583748,0.033697044752070145,0.1240119667271617,0.0283944641058053,0.1270908845217671,0.34774665980182035,0.19859019775204792,0.08073606661409699
TO,Tocantins,0.010360322875925771,0.033286177914620955,0.1081800782225181,0.11650162270117334,0.09153698926520762,0.0,0.029125405675293335,0.033286177914620955,0.1081800782225181,0.008321544478655239,0.15810934509444952,0.39527336273612385,0.20387783972705334,0.020803861196638095
